Question,Similarity Search
Qual é a contraindicação ao tomar Maxilase?,"Não tome Maxilase Se tem alergia (hipersensibilidade) à substância activa, alfa-amilase, ou a qualquer outrocomponente de Maxilase.Tome especial cuidado com Maxilase Se é um doente com problemas hereditários raros de intolerância à frutose, malabsorçãoglucose-galactose ou insuficiência sucrase-isomaltase não devem tomar este medicamento. Quando da persistência ou aparecimento de novos sintomas (dores de garganta graves, dores decabeça, náuseas, vómitos) ou em caso de febre associada, deve reavaliar-se a estratégiaterapêutica.Este medicamento não deve ser utilizado durante longos períodos de tempo sem conselho médico.Tomar Maxilase com outros medicamentosNão há conhecimento de relatos de interacções entre a alfa amilase e outros produtos medicinais.Informe o seu médico ou farmacêutico se estiver a tomar ou tiver tomado recentemente outrosmedicamentos, incluindo medicamentos obtidos sem receita médica.Tomar Maxilase com alimentos ou bebidasAconselha-se a toma de"
Para que serve Aldactazine?,"Aldactazine
Definition: Aldactazine pertence a um grupo de medicamentos designados por diuréticospoupadores de potássio, medicamentos que aumentam a produção de urina.Aldactazine está indicado em situações de pressão arterial elevada (hipertensão), emsituações de retenção de água (edema) e ascite (acumulação de líquido na cavidadeabdominal), devido a insuficiência cardíaca, cirrose do fígado ou mau funcionamentodos rins (síndroma nefrótica).Aldactazine também está indicado em doentes em tratamento com digitálicos(medicamentos utilizados para tratar algumas doenças de coração, como arritmiasou insuficiência cardíaca), quando outros medicamentos antidiuréticos não foramsuficientes na manutenção do equilíbrio eletrolítico."
Quais são os efeitos negativos ao tomar Largactil?,"possibilidade de depósitos acastanhados no segmento anteriordo olho (normalmente sem consequências sobre a visão) e de retinopatia pigmentada.O Largactil pode ser responsável por efeitos hormonais: hiperprolactinémia a qual, emcaso de tumor dependente da prolactina, exige vigilância e reavaliação do tratamento.O Largactil reduz a capacidade do organismo transpirar o que interfere com a regulaçãoda temperatura do corpo. Este efeito pode ser grave para determinados doentes (porexemplo durante as estações mais quentes e/ou que vivem em habitações quentes), umavez que existe o perigo de temperatura do corpo atingir níveis fatais.Doentes com risco de pneumonia de aspiração: o efeito sedativo do Largactil, sobretudono início do tratamento, pode ser importante e constituir um risco suplementar depneumonia de aspiração se administrado a doentes em situação de risco para a mesma.Alterações do hemograma: uma vigilância hematológica regular é recomendada em casode tratamentos prolongados."
Quando não devo tomar Victan?,"um dia para o outro.Outros medicamentos e VictanO Victan pode alterar a reação do seu organismo a alguns medicamentos. Por esse motivo devesempre informar o seu médico se está também a tomar outros medicamentos, incluindo aquelesque se adquirem sem receita médica.Em especial, informe o seu médico se estiver a tomar algum dos seguintes medicamentos:depressores do sistema nervoso central (benzodiazepinas, analgésicos, antitússicos, barbitúricos,antihistamínicos, antidepressivos, neurolépticos), cisapride, clozapina, depressoresneuromusculares.O seu médico decidirá se esses medicamentos devem ou não ser descontinuados, ou se a suamanutenção exige vigilância apertada ou modificação da posologia.Victan com alimentos e bebidas, bebidas e álcoolNão deve tomar bebidas alcoólicas durante o tratamento.Condução de veículos e utilização de máquinasPode surgir ocasionalmente sonolência ou diminuição dos reflexos durante o tratamento comVictan, como acontece com qualquer benzodiazepina. Se sentir"
Quais são as precauções que devo tomar ao utilizar Aerinaze?,"Não tome Aerinaze:     se tem alergia à desloratadina, sulfato de pseudoefedrina, medicamentos adrenérgicos ou a      qualquer outro componente deste medicamento (indicados na secção 6) ou à loratadina     se tem tensão arterial elevada, doença do coração ou dos vasos sanguíneos ou história de AVC     se tem glaucoma, dificuldade em urinar, obstrução do trato urinário ou hiperatividade da tiroide     se estiver a tomar um medicamento inibidor da monoaminoxidase (MAO) (uma classe de      medicamentos antidepressivos) ou se acabou de tomar medicamentos deste tipo nos últimos      14 dias.Advertências e precauçõesCertas condições podem torná-lo invulgarmente sensível ao descongestionante sulfato depseudoefedrina contido neste medicamento. Fale com o seu médico, farmacêutico ou enfermeiro antesde tomar Aerinaze:     se tem idade igual ou superior a 60 anos. Adultos idosos podem ser mais sensíveis aos efeitos      deste medicamento     se tem diabetes     se tem úlceras"
Como posso guardar Acabel?,Conservar a temperatura inferior a 25ºC.Manter o frasco bem fechado dentro da embalagem exterior para proteger da luz e dahumidade.Manter fora do alcance e da vista das crianças.Não utilize ACARILBIAL após o prazo de validade impresso na embalagem exterior ou nofrasco após EXP. O prazo de validade corresponde ao último dia do mês indicado.Não utilize ACARILBIAL se verificar sinais visíveis de deterioração.Os medicamentos não devem ser eliminados na canalização ou no lixo doméstico. Pergunteao seu farmacêutico como eliminar os medicamentos de que já não necessita. Estas medidasirão ajudar a proteger o ambiente.
Quais são os efeitos colaterais de Cozaar?,"Como todos os medicamentos, este medicamento pode causar efeitos secundários,embora estes não se manifestem em todas as pessoas.Se sentir algum dos seguintes efeitos, pare de tomar losartan e informe imediatamente oseu médico ou dirija-se às urgências do hospital mais próximo:Uma reação alérgica grave (erupção na pele, comichão, inchaço da face, lábios, boca ougarganta, que pode causar dificuldade a engolir ou a respirar).Este é um efeito secundário grave mas raro, que afeta mais de 1 em 10.000 doentes,mas menos de 1 em 1.000 doentes. Pode necessitar de assistência médica urgente ouhospitalização.Os seguintes efeitos secundários foram comunicados com Cozaar:Frequentes (podem afetar até 1 em 10 pessoas): tonturas, pressão arterial baixa (especialmente após perda excessiva de água dos vasossanguíneos do corpo por ex., em doentes com insuficiência cardíaca grave ou emtratamento com doses elevadas de diuréticos), efeitos ortostáticos relacionados com a dose tais como"
Como devo tomar Blocan?,"com ummedicamento que contém aliscireno para diminuir a pressão arterial.Advertências e precauçõesFale com o seu médico ou farmacêutico antes de tomar Blocan.Deve informar o seu médico se pensa que está (ou pode vir a estar) grávida. Blocan nãoestá recomendado no início da gravidez e não deve ser tomado após o terceiro mês degravidez, uma vez que pode ser gravemente prejudicial para o bebé se utilizado a partirdesta altura (ver secção Gravidez).É importante que diga ao seu médico antes de tomar o Blocan:se tem história de angioedema (inchaço da cara, lábios, garganta e/ou língua) (vertambém a secção 4),se tem vómitos excessivos ou diarreia, que levam a uma perda extrema de líquidos e/ousal do seu corpo,se está a tomar diuréticos (medicamentos que aumentam a quantidade de água quepassa através dos seus rins) ou está sob uma dieta de restrição de sal, levando a umaperda extrema de líquidos e sal do seu corpo,se sabe que tem estreitamento ou bloqueio dos vasos sanguíneos que levam aos"
Quais são os pontos de atenção que devo tomar ao usar Fortzaar?,"a tomar um inibidor da ECA ou aliscireno (ver também informações sob os títulos“Não tome Fortzaar” e “Advertências e precauções”).Se estiver planeada a aplicação de um meio de contraste com iodo num procedimentoradiográfico, informe também o seu médico que toma Fortzaar.Fortzaar com alimentos e bebidasNão deve beber álcool enquanto toma estes comprimidos: o álcool e o Fortzaar comprimidospodem aumentar o efeito um do outro.O sal da dieta em quantidades excessivas pode contrariar o efeito dos comprimidos deFortzaarOs comprimidos de Fortzaar podem ser tomados com ou sem alimentos.Gravidez e amamentaçãoGravidezDeve informar o seu médico se pensa que está (ou pode vir a estar) grávida. O seu médiconormalmente aconselhá-la-á a interromper Fortzaar antes de engravidar ou assim que souberque está grávida e a tomar outro medicamento em vez de Fortzaar. Fortzaar não estárecomendado durante a gravidez e não pode ser tomado após o terceiro mês de gravidez, umavez que pode ser gravemente"
Quais são os efeitos desejáveis que posso ter ao tomar Lovastatina Azevedos?,"Como todos os medicamentos, Lovastatina Azevedos pode causar efeitossecundários, embora estes não se manifestem em todas as pessoas.Os efeitos secundários seguintes são importantes e requerem ação imediata se osdetetar:Se tiver dor, sensibilidade ou fraqueza muscular inexplicadas e, particularmente, seao mesmo tempo não se sentir bem e tiver febre. Estes podem ser sinais precocesde uma degradação muscular potencialmente grave que pode ser evitada se o seumédico interromper o seu tratamento com lovastatina tão rápido quanto possível.Estes efeitos secundários também foram encontrados com fármacos semelhantesdesta classe (inibidores da HMG-CoA-redutase).Edema angioneurótico (inchaço da face, língua e traqueia o que pode causar grandedificuldade em respirar). Esta é uma reação rara, que pode ser grave se ocorrer. Setiver este efeito secundário deve informar imediatamente o seu médico.Se desenvolver problemas com hemorragias ou nódoas negras inesperadas ou nãousuais, isto"
Como funciona o Latuda?,"Latuda contém a substância ativa lurasidona e pertence a um grupo de medicamentos denominadosantipsicóticos. É utilizado para tratar os sintomas da esquizofrenia em adultos (com idade igual ousuperior a 18 anos) e adolescentes com idades entre 13-17 anos. A lurasidona funciona bloqueando osrecetores no cérebro aos quais as substâncias dopamina e serotonina se ligam. A dopamina e aserotonina são neurotransmissores (substâncias que permitem que as células nervosas comuniquementre si) que estão envolvidos nos sintomas da esquizofrenia. Através do bloqueio dos seus recetores, alurasidona ajuda a normalizar a atividade do cérebro, reduzindo os sintomas da esquizofrenia.A esquizofrenia é uma doença com sintomas tais como ouvir coisas, ver ou sentir coisas que nãoexistem, julgamentos errados, suspeitas invulgares, tornando-se ausente, com discurso ecomportamento incoerentes e apatia emocional. As pessoas com esta doença podem sentir-sedeprimidas, ansiosas, culpadas ou tensas."
Para que serve o Luveris?,"Luveris
Definition: O que é LuverisLuveris é um medicamento que contém lutropina alfa, uma Hormona Luteinizante recombinante (LH),semelhante à hormona que se encontra naturalmente no organismo humano, mas produzida porbiotecnologia. Pertence à família das hormonas denominadas gonadotropinas, as quais estãoenvolvidas no controlo normal da reprodução.Para que é utilizado LuverisLuveris é recomendado no tratamento de mulheres adultas que revelaram produzir níveis muito baixosde algumas das hormonas envolvidas no ciclo de reprodução natural. O medicamento é utilizadoconjuntamente com outra hormona denominada Hormona Folículo Estimulante (FSH) para estimular odesenvolvimento de folículos, que são as estruturas que nos ovários levam à maturação dos óvulos.Este tratamento é seguido pela administração de uma única dose de Gonadotropina Coriónica humana(hCG), que leva à libertação de um óvulo do folículo (ovulação)."
Quais são os efeitos colaterais ao tomar Striverdi Respimat?,"Como todos os medicamentos, este medicamento pode causar efeitos secundários,embora estes não se manifestem em todas as pessoas.Os efeitos secundários descritos abaixo foram observados em pessoas a tomar estemedicamento e estão listadas de acordo com a frequência em pouco frequentes,raros ou desconhecidos.Pouco frequentes (pode afetar até 1 em 100 doentes):Nasofaringite (corrimento nasal)TonturaErupção na peleRaros (pode afetar até 1 em 1000 doentes):Artralgia (dor nas articulações)HipertensãoTambém pode sentir efeitos secundários cuja ocorrência é conhecida no caso decertos medicamentos para problemas respiratórios semelhantes a Striverdi Respimat(agentes beta-adrenérgicos). Estes efeitos podem ser batimento cardíaco aceleradoou irregular ou sensação do batimento cardíaco, elevação ou diminuição da pressãoarterial, tremor, dor de cabeça, nervosismo, insónia, tontura, boca seca, náusea,cãibras musculares, fadiga, mal estar geral, baixos níveis de potássio no sangue"
