Question,Answer
Quais são os efeitos colaterais ao tomar Ursofalk?,"
            Efeitos colaterais:
            Aumento da frequência cardíaca, aumento da pressão arterial, náuseas, vômitos, diarréias, dor de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeza, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de cabeça, dores de"
Em que situações o remédio de Campral é contraindicado?,"
            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.

            Ao contrário do que muitas pessoas pensam, Campral não é contraindicado para uso na gravidez.
"
Do que Neotigason é composto?,"
            Neotigason é uma droga que contém acitretina, que é um medicamento antineoplásico.

            Apresentação:
            Neotigason é uma droga que contém acitretina, que é um medicamento antineoplásico.

            Contexto:
            Qual a composição de NeotigasonNeotigason 10 mg CápsulasA substância ativa é a acitretina. Cada cápsula contém 10 mg de acitretina.Os outros componentes são:Conteúdo da cápsula: celulose microcristalina, maltodextrina, ascorbato de sódio.Cápsula:Cabeça: gelatina, óxido de ferro negro (E172), óxido de ferro amarelo (E172), óxidode ferro vermelho (E172), dióxido de titânio (E171);Corpo: gelatina, dióxido de titânio (E171)Tinta de impressão: Shellac, álcool isopropílico, butanol, propilenoglicol (E1520),hidróxido de amónio, óxido de ferro negro (E172).Neotigason 25 mg CápsulasA substância ativa é a acitretina. Cada cápsula contém 25 mg de acitretina.Os outros componentes são:Conteúdo da cápsula: celulose microcristalina, maltodextrina, ascorbato de sódio,gelatina.Cápsula:Cabeça: gelatina, óxido de ferro negro (E172), óxido de ferro amarelo (E172), óxidode ferro vermelho (E172), dióxido de titânio (E171);Corpo: gelatina, dióxido de titânio (E171) óxido de ferro amarelo

            Pergunta:
            Do que Neotigason é composto?

            Resposta:
            
            Neotigason é uma droga que contém acitretina, que é um medicamento antineoplásico.

            Apresentação:
            Neotigason é uma droga que contém acitretina, que é um medicamento antineoplásico.

            Contexto:
            Qual a composição de NeotigasonNeotigason 10 mg CápsulasA substância ativa é a acitretina. Cada cápsula contém 10 mg de acitretina.Os outros componentes são:Conteúdo da cápsula: celulose microcristalina, maltodextrina, ascorbato de sódio.Cápsula:Cabeça: gelatina, óxido de ferro negro (E172), óxido de ferro amarelo (E172), óxidode ferro vermelho (E172), dióxido de titânio (E171);Corpo: gelatina, dióxido de titânio (E171) Tinta de impressão: Shellac, álcool isopropílico, butanol, propilenoglicol (E1520),hidróxido de amónio, óxido de ferro negro (E172).Neotigason 25 mg CápsulasA substância ativa é a acitretina. Cada cápsula contém 25 mg de acitretina.Os outros componentes são:Conteúdo da cápsula: celulose microcristalina, maltodextrina, ascorbato de sódio,gelatina.Cápsula:Cabeça: gelatina, óxido de ferro negro (E172), óxido de ferro amarelo (E172), óxidode ferro vermelho (E172), dióxido de titânio (E171);Corpo: gelatina, dióxido de titânio (E171) ó"
Caso eu tenha histórico de doenças cardíacas posso tomar Norterol?,"
            Se você tiver histórico de doenças cardíacas, não pode tomar Norterol.

        </p>
    </div>
</template>
<script>
export default {
    name: 'About',
}
</script>"
Para que serve Octiset?,"
            Octiset é um medicamento antisséptico utilizado para prevenir infecções nos locais onde será aplicado.

            Contexto:
            Octiset
Definition: A aplicação continuada de Octiset elimina os germes tais como bactérias e fungospor um período limitado de tempo e atua como tratamento de preparação damembrana mucosa e pele circundante antes de uma cirurgia na região genital eórgãos de excreção, incluindo a inserção de um cateter, assim como para utilizaçãocontinuada, eliminação limitada de germes tais como bactérias e fungos em feridas epromoção da cicatrização de feridas.Octiset está também indicado como antisséptico na cavidade oral, assim como naterapêutica de suporte em micoses interdigitais e tratamento antisséptico adjuvantede feridas.Se não se sentir melhor ou se piorar após 14 dias, tem de consultar um médico.

            Pergunta:
            Como funciona Octiset?

            Resposta:
            
            Octiset é um medicamento antisséptico utilizado para prevenir infecções nos locais onde será aplicado.

            Contexto:
            Octiset
Definition: A aplicação continuada de Octiset elimina os germes tais como bactérias e fungospor um período limitado de tempo e atua como tratamento de preparação damembrana mucosa e pele circundante antes de uma cirurgia na região genital eórgãos de excreção, incluindo a inserção de um cateter, assim como para utilizaçãocontinuada, eliminação limitada de germes tais como bactérias e fungos em feridas epromoção da cicatrização de feridas.Octiset está também indicado como antisséptico na cavidade oral, assim como naterapêutica de suporte em micoses interdigitais e tratamento antisséptico adjuvantede feridas.Se não se sentir melhor ou se piorar após 14 dias, tem de consultar um médico.

            Pergunta:
            Quem pode usar Octiset?

            Resposta:
            
            Octiset é indicado para uso em adultos e crianças com mais de 6 meses de idade.

            Contexto:
            Octiset
Definition: A aplicação continuada de Octiset elimina os germes tais como bactérias e fungospor um período limitado de tempo e atua como tratamento de preparação damembrana mucosa e pele circundante antes de uma cirurgia na região genital eórgãos de excreção, incluindo a inserção de um cateter, assim como para utilizaçãocontinuada, eliminação limitada de germes tais como bactérias e fungos em feridas epromoção da cicatrização de feridas.Octiset está também indicado como antisséptico na cavidade oral, assim como naterapêutica de suporte em micoses interdigitais e tratamento antisséptico adjuvantede feridas.Se não se sentir melhor ou se piorar após 14 dias, tem de consultar um médico.

            Pergunta:
            Qual é o modo de administração de Octiset?

            Resposta:
            
            Octiset é aplicado por via líquida ou por inalação.

            Contexto:
            Octiset
Definition: A aplicação continuada de Octiset elimina os germes tais como bactérias e fungospor um período limitado de tempo e atua como tratamento de preparação damembrana mucosa e pele circundante antes de uma cirurgia na região genital eórgãos de excreção, incluindo a inserção de um cateter, assim como para utilizaçãocontinuada, eliminação limitada de germes tais como bactérias e fungos em feridas epromoção da cicatrização de feridas.Octiset está também indicado como antisséptico na cavidade oral, assim como naterapêutica de suporte em micoses interdigitais e tratamento antisséptico adjuv"
Quais são os efeitos colaterais de Griponal?,"
            O efeito colateral mais comum é a sonolência. Outros efeitos colaterais incluem:

            - Secura da boca

            - Visão turva

            - Prisão de ventre

            - Edificuldade em urinar

            - Dores de cabeça

            - Excitabilidade

            - Fadiga

            - Nervosismo

            - Tonturas

            - Reações gastrointestinais como náuseas e vômitos

            - Foram comunicados casos raros de reações cutâneas graves

            - Em casos raros, podem ocorrer reações anafilácticas

        </div>
    </div>
</div>"
Quais são os possíveis efeitos secundários ao tomar Otoceril?,"
            Efeitos secundários comuns:
            Irritação local devido ao diclorobenzeno ou reacções de sensibilização devidabenzocaína.

            Efeitos secundários raros:
            Reacção de hipersensibilidade.

            Efeitos secundários graves:
            Não foram relatados casos de efeitos secundários graves.

            Efeitos secundários não especificados:
            Não foram relatados casos de efeitos secundários não especificados.

            Efeitos secundários não previstos:
            Não foram relatados casos de efeitos secundários não previstos.

            Efeitos secundários não descritos:
            Não foram relatados casos de efeitos secundários não descritos.

            Efeitos secundários não mencionados:
            Não foram relatados casos de efeitos secundários não mencionados.

            Efeitos secundários não identificados:
            Não foram relatados casos de efeitos secundários não identificados.

            Efeitos secundários não descritos:
            Não foram relatados casos de efeitos secundários não descritos.

            Efeitos secundários não previstos:
            Não foram relatados casos de efeitos secundários não previstos.

            Efeitos secundários não descritos:
            Não foram relatados casos de efeitos secundários não descritos.

            Efeitos secundários não identificados:
            Não foram relatados casos de efeitos secundários não identificados.

            Efeitos secundários não descritos:
            Não foram relatados casos de efeitos secundários não descritos.

            Efeitos secundários não previstos:
            Não foram relatados casos de efeitos secundários não previstos.

            Efeitos secundários não descritos:
            Não foram relatados casos de efeitos secundários não descritos.

            Efeitos secundários não identificados:
            Não foram relatados casos de efeitos secundários não identificados.

            Efeitos secundários não descritos:
            Não foram relatados casos de efeitos secundários não descritos.

            Efeitos secundários não previstos:
            Não foram relatados casos de efeitos secundários não previstos.

            Efeitos secundários não descritos:
            Não foram relatados casos de efeitos secundários não descritos.

            Efeitos secundários não identificados:
            Não foram relatados casos de efeitos secundários não identificados.

            Efeitos secundários não descritos:
            Não foram relatados casos de efeitos secundários não descritos.

            Efeitos secundários não previstos:
            Não foram relatados casos de efeitos secundários não previstos.

            Efeitos secundários não descritos:
            Não foram relatados casos de efeitos secundários não descritos.

            Efeitos secundários não identificados:
            Não foram relatados casos de efeitos secundários não identificados.

            Efeitos secundários não descritos:
            Não foram relatados casos de efeitos secundários não descritos.

            Efeitos secundários não previstos:
            Não foram relatados casos de efeitos secundários não previstos.

            Efeitos secundários não descritos:
            Não foram relatados casos de efeitos secundários não descritos.

            Efeitos secundários não identificados:
            Não foram relatados casos de efeitos secundários não identificados.

            Efeitos secundários não descritos:
            Não foram relatados casos de efeitos secundários não descritos.

            Efeitos secundários não previstos:
            Não foram relatados casos de efeitos secundários"
O que pode acontecer se eu exceder a dose de Cyteal,"
            Ao usar Cyteal, pode-se sofrer de erupção cutânea localizada ou irritação da pele (dermatite de contacto). Em caso de contacto com o produto é possível que ocorra eczema alérgico, particularmente em pele lesada, membranas mucosas ou ulceração dos membros inferiores. No caso de sintomas graves, deve interromper o tratamento e consultar o seumédico ou farmacêutico antes de utilizar Cyteal novamente. Este medicamento contém hexamidina e dois excipientes presentes no

            Contexto:
            Como todos os medicamentos, este medicamento pode causar efeitos secundários, embora estes não se manifestem em todas as pessoas. As seguintes reações adversas podem ocorrer com uma frequência desconhecida (não pode ser calculada a partir dos dados disponíveis): Erupção cutânea, dificuldades em respirar (reação alérgica geral) que pode ser grave e fatal (reação anafilática). No caso de sintomas graves, deve contactar o seu médico ou farmacêutico assim que possível e interromper o tratamento. Consulte o seu médico ou farmacêutico antes de utilizar Cyteal novamente. Erupção cutânea localizada ou irritação da pele (dermatite de contacto). Em caso de contacto com o produto é possível que ocorra eczema alérgico, particularmente em pele lesada, membranas mucosas ou ulceração dos membros inferiores. No caso de sintomas graves, deve interromper o tratamento e consultar o seumédico ou farmacêutico antes de utilizar Cyteal novamente. Este medicamento contém hexamidina e dois excipientes presentes no

            Pergunta:
            O que pode acontecer se eu exceder a dose de Cyteal

            Resposta:
            
            Ao usar Cyteal, pode-se sofrer de erupção cutânea localizada ou irritação da pele (dermatite de contacto). Em caso de contacto com o produto é possível que ocorra eczema alérgico, particularmente em pele lesada, membranas mucosas ou ulceração dos membros inferiores. No caso de sintomas graves, deve interromper o tratamento e consultar o seumédico ou farmacêutico antes de utilizar Cyteal novamente. Este medicamento contém hexamidina e dois excipientes presentes no

            Contexto:
            Como todos os medicamentos, este medicamento pode causar efeitos secundários, embora estes não se manifestem em todas as pessoas. As seguintes reações adversas podem ocorrer com uma frequência desconhecida (não pode ser calculada a partir dos dados disponíveis): Erupção cutânea, dificuldades em respirar (reação alérgica geral) que pode ser grave e fatal (reação anafilática). No caso de sintomas graves, deve contactar o seu médico ou farmacêutico assim que possível e interromper o tratamento. Consulte o seu médico ou farmacêutico antes de utilizar Cyteal novamente. Erupção cutânea localizada ou irritação da pele (dermatite de contacto). Em caso de contacto com o produto é possível que ocorra eczema alérgico, particularmente em pele lesada, membranas mucosas ou ulceração dos membros inferiores. No caso de sintomas graves, deve interromper o tratamento e consultar o seumédico ou farmacêutico antes de utilizar Cyteal novamente. Este medicamento contém hexamidina e dois excipientes presentes no

            Pergunta:
            O que pode acontecer se eu exceder a dose de Cyteal

            Resposta:
            
            Ao usar Cyteal, pode-se sofrer de erupção cutânea localizada ou irritação da pele (dermatite de contacto). Em caso de contacto com o produto é possível que ocorra eczema alérgico, particularmente em pele"
Como posso tomar o remédio de Modulanzime?,"
            Modulanzime pode ser tomado com ou sem alimento.

            O tempo de administração é de 15 minutos.

            A dosagem recomendada é de 20 mg/kg/dia.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm intolerância à lactose.

            Modulanzime não deve ser tomado por pessoas que têm"
Qual é a contraindicação ao tomar Maxilase?,"
            Ao tomar Maxilase, não deve ser feito uso de bebidas alcoólicas, pois podem aumentar os efeitos colesterol-baixadores.

        </p>
    </div>
</template>
<script>
export default {
    name: 'App',
}
</script>
"
Para que serve Aldactazine?,"
            Aldactazine serve para reduzir a pressão arterial, para evitar a formaçãode edemas e para prevenir a formação de acúmulo de líquidos no abdômen.

            Contexto:
            Aldactazine
Definition: Aldactazine pertence a um grupo de medicamentos designados por diuréticospoupadores de potássio, medicamentos que aumentam a produção de urina.Aldactazine está indicado em situações de pressão arterial elevada (hipertensão), emsituações de retenção de água (edema) e ascite (acumulação de líquido na cavidadeabdominal), devido a insuficiência cardíaca, cirrose do fígado ou mau funcionamentodos rins (síndroma nefrótica).Aldactazine também está indicado em doentes em tratamento com digitálicos(medicamentos utilizados para tratar algumas doenças de coração, como arritmiasou insuficiência cardíaca), quando outros medicamentos antidiuréticos não foramsuficientes na manutenção do equilíbrio eletrolítico.

            Pergunta:
            Como funciona Aldactazine?

            Resposta:
            
            A alfentanil é um medicamento que atua como um bloqueador dos receptores de adrenalina nos neurónios do sistema nervoso central, reduzindo a libertação de adrenalina e, consequentemente, a contração muscular.

            Contexto:
            Aldactazine
Definition: Aldactazine pertence a um grupo de medicamentos designados por diuréticospoupadores de potássio, medicamentos que aumentam a produção de urina.Aldactazine está indicado em situações de pressão arterial elevada (hipertensão), emsituações de retenção de água (edema) e ascite (acumulação de líquido na cavidadeabdominal), devido a insuficiência cardíaca, cirrose do fígado ou mau funcionamentodos rins (síndroma nefrótica).Aldactazine também está indicado em doentes em tratamento com digitálicos(medicamentos utilizados para tratar algumas doenças de coração, como arritmiasou insuficiência cardíaca), quando outros medicamentos antidiuréticos não foramsuficientes na manutenção do equilíbrio eletrolítico.

            Pergunta:
            Quais são os principais efeitos colaterais de Aldactazine?

            Resposta:
            
            Os principais efeitos colaterais de Aldactazine incluem:

            - Náusea;

            - Vômitos;

            - Diarreia;

            - Confusão mental;

            - Tontura;

            - Desmaio;

            - Tremores;

            - Perdas de cabelo;

            - Dor de cabeça;

            - Alucinações;

            - Ansiedade;

            - Inchaço;

            - Fadiga;

            - Tonturas;

            - Visões;

            - Sonhos anormais;

            - Insônia;

            - Mudança na personalidade;

            - Convulsões;

            - Paralisia;

            - Transtorno de ansiedade generalizada;

            - Transtorno de ansiedade social;

            - Transtorno de ansiedade pós-traumática;

            - Transtorno de ansiedade específica;

            - Transtorno de ansiedade generalizada com agorafobia;

            - Transtorno de ansiedade generalizada com pansexualidade;

            - Transtorno de ansiedade generalizada com agorafobia e pansexualidade;

            - Transtorno de ansiedade generalizada com agorafobia, pansexualidade e depersonalização;

            - Transtorno de ansiedade generalizada com agorafobia, pansexualidade e depersonalização;

            - Transtorno de"
Quais são os efeitos negativos ao tomar Largactil?,"
            O Largactil pode ser responsável por efeitos hormonais: hiperprolactinémia a qual, emcaso de tumor dependente da prolactina, exige vigilância e reavaliação do tratamento.O Largactil reduz a capacidade do organismo transpirar o que interfere com a regulaçãoda temperatura do corpo. Este efeito pode ser grave para determinados doentes (porexample durante as estações mais quentes e/ou que vivem em habitações quentes), uma vez que existe o perigo de temperatura do corpo atingir níveis fatais.Doentes com risco de pneumonia de aspiração: o efeito sedativo do Largactil, sobretudono início do tratamento, pode ser importante e constituir um risco suplementar depneumonia de aspiração se administrado a doantes em situação de risco para a mesma.Alterações do hemograma: uma vigilância hematológica regular é recomendada em caso de tratamentos prolongados.

        </div>
    </div>
</div>"
Quando não devo tomar Victan?,"
            Ao contrário de outras drogas, Victan não deve ser tomado antes do sono, pois pode provocar sonolência.

        </div>
    </div>
</template>
<script>
export default {
    name: 'Home',
}
</script>
"
Quais são as precauções que devo tomar ao utilizar Aerinaze?,"
            Precauções:
            Certas condições podem torná-lo invulgarmente sensível ao descongestionante sulfato depseudoefedrina contido neste medicamento. Fale com o seu médico, farmacêutico ou enfermeiro antes de tomar Aerinaze:

            Se tem idade igual ou superior a 60 anos. Adultos idosos podem ser mais sensíveis aos efeitos deste medicamento.

            Se tem diabetes.

            Se tem úlceras.

            Se tem alergia à desloratadina, sulfato de pseudoefedrina, medicamentos adrenérgicos ou a qualquer outro componente deste medicamento (indicados na secção 6) ou à loratadina.

            Se tem tensão arterial elevada, doença do coração ou dos vasos sanguíneos ou história de AVC.

            Se tem glaucoma, dificuldade em urinar, obstrução do trato urinário ou hiperatividade da tiroide.

            Se está a tomar um medicamento inibidor da monoaminoxidase (MAO) (uma classe de medicamentos antidepressivos) ou se acabou de tomar medicamentos deste tipo nos últimos 14 dias.

            Se está a tomar um medicamento que possa interferir com a absorção de Aerinaze.

            Se está a tomar um medicamento que possa aumentar os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se está a tomar um medicamento que possa diminuir os efeitos de Aerinaze.

            Se"
Como posso guardar Acabel?,"
            Aguardando sua resposta, o sistema vai analisar a resposta e dar uma pontuação entre 0 e 100. Se a pontuação for maior que 70, o sistema vai mostrar a seguinte mensagem:

            Parabéns! Você atingiu mais de 70% de acerto.

            Caso contrario, o sistema vai mostrar a seguinte mensagem:

            Não foi possível analisar a sua resposta. Por favor, tente novamente.

            Aqui está a sua pontuação:

            Pontuação:

        </p>
    </div>
</body>
</html>"
Quais são os efeitos colaterais de Cozaar?,"
            Efeitos colaterais de Cozaar podem incluir:

            Tontura,

            Pressão arterial baixa (especialmente após perda excessiva de água dos vasossanguíneos do corpo por ex., em doentes com insuficiência cardíaca grave ou emtratamento com doses elevadas de diuréticos)

            Efeitos ortostáticos relacionados com a dose tais como

            Vertigens,

            Náusea,

            Vômitos,

            Diarreia,

            Fadiga,

            Dor de cabeça,

            Desconforto,

            Ansiedade,

            Depressão,

            Insonnia,

            Confusão mental,

            Alucinações,

            Convulsões,

            Parestesia,

            Tremores,

            Astenia muscular,

            Disfunção erétil,

            Impotência sexual,

            Desejo sexual reduzido,

            Diminuição da libido,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuldades para ter relações sexuais,

            Dificuld"
