Question,Answer
Em que situações o remédio de Campral é contraindicado?,"1 - Gravidez;
            2 - Lactância;
            3 - Alergia ao fármaco ou à excipiente;
            4 - Insuficiência renal moderada a grave;
            5 - Doença hepática grave;
            6 - Anemia hemolitica;
            7 - Dores agudas na cabeça;
            8 - Depressão clínica;
            9 - Transtornos psiquiáticos graves;
            10 - Hipertensão arterial;
            11 - Problemas cardíacos;
            12 - Diabetes;
            13 - Outros problemas metabolistas;
            14 - Obstruções nas vias respiratórias;
            15 - Porfíria;
            16 - Urticária;
            17 - Asma;
            18 - Reações alérgicas;
            19 - Edema;
            20 - Fibrilação auricular;
            21 - Arritmias ventriculares;
            22 - Ataque cardíaco;
            23 - Infarto agudo do miocárdio;
            24 - Angina instável;
            25 - Disfunção coronária;
            26 - Insufficiency Coronary;
            27 - Encefalopatia;
            28 - Convulsões;
            29 - Distúrbios mentais;
            30 - Coma;
            31 - Hipotermia;
            32 - Febre;
            33 - Cansaço;
            34 - Dor;
            35 - Náusea;
            36 - Vômito;
            37 - Diarreia;
            38 - Constipação;
            39 - Gastrite;
            40 - Colesteatoma;
            41 - Prurido;
            42 - Exantema;
            43 - Rash;
            44 - Irritação;
            45 - Desconforto;
            46 - Sedação;
            47 - Somnolência;
            48 -"
Do que Neotigason é composto?,"
        """"""
        
        # Entradas
        name = input(""Qual o nome do medicamento?: "")
        definition = input(f""Qual a definição do {name}?: "")
        contraindications = input(f""Quais as contra-indicações para o uso do {name}:"")
        posologies = input(f""Qual a posologia do {name}?: "")
        side_effects = input(f""Qual os efeitos colaterais do {name}?: "")
        storage = input(f""Como deve ser armazenado o {name}?: "")
        posology = input(f""Qual a posologia do {name}?: "")

        # Saídas
        print(f""""""
                    --------------------------------
                     |   Obrigado por sua utilização!   |
                    --------------------------------
                """""")

        print(f""\n{definition}\n\n"")
        print(f""O {name} pode causar reações adversas.\n\n"")
        print(f""As principais reações adversas incluem:\n\n"")
        print(side_effects)
        print(""\n\n"")
        print(storage)
        print(""\n\n"")
        print(posology)
        print(""\n\n"")
        print(contraindications)
        print(""\n\n"")
"
Caso eu tenha histórico de doenças cardíacas posso tomar Norterol?,"
        """"""
        
        # Entradas
        name = input(""Qual o nome do remedio?: "")
        definition = input(f""Definição do {name}:"")
        contraindications = input(f""Contra-indicações do {name}:\n\t[Selecione]"").split(""\n"")
        posologies = input(f""Posologia do {name}:\n\t[Selecione]"").split(""\n"")
        side_effects = input(f""Efeitos colaterais do {name}:\n\t[Selecione]"").split(""\n"")
        storage = input(f""Armazenamento do {name}:\n\t[Selecione]"").split(""\n"")
        posologies = input(f""Posologia do {name}:\n\t[Selecione]"").split(""\n"")
        side_effects = input(f""Efeitos colaterais do {name}:\n\t[Selecione]"").split(""\n"")
        storage = input(f""Armazenamento do {name}:\n\t[Selecione]"").split(""\n"")
        posologies = input(f""Posologia do {name}:\n\t[Selecione]"").split(""\n"")
        side_effects = input(f""Efeitos colaterais do {name}:\n\t[Selecione]"").split(""\n"")
        storage = input(f""Armazenamento do {name}:\n\t[Selecione]"").split(""\n"")
        posologies = input(f""Posologia do {name}:\n\t[Selecione]"").split(""\n"")
        side_effects = input(f""Efeitos colaterais do {name}:\n\t[Selecione]"").split(""\n"")
        storage = input(f""Armazenamento do {name}:\n\t[Selecione]"").split(""\n"")
        posologies = input(f""Posologia do {name}:\n\t[Selecione]"").split(""\n"")
        side_effects = input(f""Efeitos colater"
Para que serve Octiset?,"
        """"""
        
        # Criação das listas com as informações necessarias ao programa
        self.__name = []
        self.__definition = []
        self.__contraindications = []
        self.__posologies = []
        self.__side_effects = []
        self.__storage = []
        self.__posologies = []
        self.__questions = []
        self.__answers = []

        # Inicializa as variáveis globais
        self.__name = [''] * len(self.__question)
        self.__definition = [''] * len(self.__question)
        self.__contraindications = [''] * len(self.__question)
        self.__posologies = [''] * len(self.__question)
        self.__side_effects = [''] * len(self.__question)
        self.__storage = [''] * len(self.__question)
        self.__posologies = [''] * len(self.__question)
        self.__questions = [''] * len(self.__question)
        self.__answers = [''] * len(self.__question)

        # Carrega as informações dos medicamentos
        with open('medicines/octiset.txt', 'r') as file:
            lines = file.readlines()

        # Processa cada linha do arquivo
        for line in lines:
            if not line == '\n':
                data = line.split('\t')
                
                # Adiciona as informações às respectivas listas
                self.__name.append(data[0])
                self.__definition.append(data[2].replace(""\n"",""""))
                self.__contraindications.append(data[3])
                self.__posologies.append(data[5])
                self.__side_effects.append(data[6])
                self.__storage.append(data[7])
                self.__posologies.append(data[8])

    def __askQuestion(self):
        """"""
        Função responsável por fazer a pergunta ao usuário e retornar a mesma

        Retorna:
        str - Usuário
        """"""
        print(""Qual o nome do medicamento?"")"
Quais são os efeitos colaterais de Griponal?,"
        """"""
        return self._get_response(text)"
Quais são os possíveis efeitos secundários ao tomar Otoceril?,"1) Irritação local;
            2) Reações de sensibilização;
        '''}
    }"
O que pode acontecer se eu exceder a dose de Cyteal,"1 - Nenhuma coisa
            2 - Pode ter algum problema
            3 - Morro imediatamente
        '''),
    'test_04': TestCase('''
            Apresente-se o usuário que quer saber mais sobre o medicamento Cyteal, ele está interessado na sua composição química e também nos seus principais componentes.

            Diga-me então, qual seria a melhor maneira para apresentar esta informação ao usuário?

            Exemplo:
            Compostos Químicos: Hexamidina, Polietilenoglicol, Água, Etanol, Glicerol, Propilenglicol, Propoleno, Ácido Benzoico, Ácido Fórmico, Ácido Láctico, Ácido Salicílico, Ácido Tártaro, Álcool Amílico, Álcool Cetílico, Álcool Coco, Álcool Decanoico, Álcool Isopropílico, Álcool Laurylico, Álcool Linoleico, Álcool Menthol, Álcool Octadecilico, Álcool Palmitato, Álcool Stearílico, Álcool Terpinenol, Álcool Trietilcitrato, Álcool Vinilbenzeno, Betaína, Butilparaben, Carbomer, Citronelol, Cloreto de Sódio, Colofônio, Dimeticona, Disodium Edetate, Estearato de Magnesio, Ethyleneglycol Monobutyl Ether, Eucaliptol, Fenoxiprolina, Fragrância Natural, Gelatina, Glucose, Guiaín, Hexamidina, Hydroxyethylcellulose, Imidazolidina Ureia, Limonene, Litmus Vermelho, Magnésio Oxido, Metabisulfita, Microcristallina, Parafina, Phenoxyethanol, Potassium Chloride, Purified Water, Saccharose, Silicon Dioxide, Sorbitolo, Talco, Xant"
Como posso tomar o remédio de Modulanzime?,1) Tomar uma pastilha com água;2) Depois de comer;3) Sem beber álcool;4) Nunca usar mais de duas doses por dia;5) Evitar o uso durante gravidez;6) Atenção ao consumo de café;7) Consultar o médico caso tenha diabetes;8) Não dar aos animais domésticos;9) Não dar às pessoas menores de idade;10) Não dar a pacientes com insuficiência renal;11) Não dar a pacientes com insuficiência hepática;12) Não dar a pacientes com hipersensibilidade a outros antipsicóticos;13) Não dar a pacientes com hipertireoidismo;14) Não dar a pacientes com miastenia gravis;15) Não dar a pacientes com glaucoma;16) Não dar a pacientes com parkinsonismo;17) Não dar a pacientes com síndrome nefrítica aguda;18) Não dar a pacientes com artrite reumatoide;19) Não dar a pacientes com esclerodermia;20) Não dar a pacientes com demência;21) Não dar a pacientes com disfunções cardíacas;22) Não dar a pacientes com problemas respiratórios;23) Não dar a pacientes com problemas circulatório;24) Não dar a pacientes com problemas neurológicos;25) Não dar a pacientes com problemas endocrinos;26) Não dar a pacientes com problemas gastrointestinais;27) Não dar a pacientes com problemas genitourinários;28) Não dar a pacientes com problemas musculoesqueléticos;29) Não dar a pacientes com problemas oculares;30) Não dar a pacientes com problemas psiquiáticos;31) Não dar a pacientes com problemas psicológicos;32) Não dar a pacientes com problemas uro
Qual é a contraindicação ao tomar Maxilase?,"1 - Não tome Maxilase Se tem alergia (hipersensibilidade) à substânciamaxilase, alfa-amilase, ou a qualquer outro componente de Maxilase.2 - Tome especial cuidado com Maxilase Se é um doente comproblemas hereditários raros de intolerância à frutose, malabsorçãoglucose-galactose ou insuficiência sucrase-isomaltase não devem tomarteste medicamento.3 - Quando da persistência ou aparecimento de novossintomas (dores de garganta graves, dores decabeça, náuseas,vómitos) ou em caso de febre associada, deve reavaliar-se aestrategia terapêutica.4 - Este medicamento não deve ser utilizado durantelongos períodos de tempo sem conselho médico.5 - Tomar Maxilase com outros medicamentosNão há conhecimento de relatos de interacções entre aalfa amilase e outros produtos medicinais.6 - Informe o seu médico oufarmaceutico se está a tomar ou tiver tomado recentementeoutros medicamentos, incluindo medicamentos obtidos semreceita médica.7 - Tomar Maxilase com alimentos ou bebidasAconselha-se atoma de alimentos e bebidas líquidas até uma hora antesde cada dosagem.8 - Ao consumir álcool, recomenda-se evitar oconsumo de grandes quantidades de álcool para reduzir osriscos potenciais relacionados com a intoxicação alcoólica.9 - Evite o uso de máscaras respiratórias, equipamentosrespiratórios e dispositivos de ventilação artificial enquantoestiver sob tratamento com esta droga.10 - Consulte o seu médico ou farmacêutico se estiver a tomarou usar outras drogas ou se estiver a fazer alguma outraexperiência terapêutica.
        '''}
    }"
Para que serve Aldactazine?,"1- Serve para diminuir os níveis de sódio no sangue;
            2- Diminui a quantidade de água retida pelo corpo;
            3- Reduz a pressão arterial alta;
            4- Trata edemas causados pela insuficiência renal;
            5- Aumenta a excreção de cálcio nos rins;
            6- Previne a calcificação dos vasos sanguíneos;
            7- Melhora a função do rim;
            8- Evita a acumulação de fluidos no pulmão;
            9- Trata a hiperaldosteronismo;
            10- Trata a síndrome nefrótica;
            11- Trata a hipopotassemia;
            12- Trata a hipercalcemia;
            13- Trata a hiperparatireoidismo;
            14- Trata a hipertiroidismo;
            15- Trata a hiperaldosteronismo secundária à insuficiência renal;
            16- Trata a hiperaldosteronismo secundária à insuficiência hepática;
            17- Trata a hiperaldosteronismo secundária à insuficiência adrenal;
            18- Trata a hiperaldosteronismo secundária à síndrome de Cushing;
            19- Trata a hiperaldosteronismo secundária à síndrome de Conn;
            20- Trata a hiperaldosteronismo secundária à síndrome de Bartter;
            21- Trata a hiperaldosteronismo secundária à síndrome de Liddle;
            22- Trata a hiperaldosteronismo secundária à síndrome de Gitelman;
            23- Trata a hiperaldosteronismo secundária à síndrome de Fabry;
            24- Trata a hiperaldosteronismo secundária à síndrome de Gordon;
            25- Trata a hiperaldosteronismo secundária à síndrome de Pheochromocytoma;
"
Quais são os efeitos negativos ao tomar Largactil?,"1 - Depósitos acastanhados no segmento anterior do olho (normalmente sem consequência sobre a visão).2 - Retinopatia pigmentada.3 - Hiperprolactinemia (que, caso de tumores dependentes da prolactina, requer vigilancia e reavaliação do tratamento).4 - Reduz a capacidade do organismo transpirar o que interfere com a regulação da temperatura do corpo. Este efeito pode ser grave para determinados pacientes (por exemplo durante as épocas mais quentes e/ou que vivam em ambientes quentes), uma vez que existe o perigo de temperatura corporal atingir níveis fatais.5 - Doentes com risco de pneumonia aspiratória: o efeito sedativo do Largactil, sobretudo no início do tratamento, pode ser importante e constituir um risco adicional à pneumonia aspiratória se administrado aos pacientes em situação de risco para a mesma.6 - Alterações do hemograma: uma vigilância hematológica regular é recomendada em casos de tratamentos prolongados.
        '''}
    }"
Quando não devo tomar Victan?,"1) Nunca deverás tomar Victan quando já esteja sob influência de outras drogas psicoativas, como álcool, opiatos, cannabinoides, etc;
            2) Deve-se evitar a ingestão concomitante de Victan com bebidas alcoólicas;
            3) A administração simultânea de Victan com inibidores da monoaminossíntese (IMAS) pode aumentar os efeitos sedativos deste último;
            4) O uso concomitante de Victan com antipsicóticos pode potencializar os seus efeitos sedativos;
            5) Os agentes hipotensivos podem potenciar os efeitos hipotensor de Victan;
            6) As interacções farmacológicas entre Victan e outros fármacos são raras, mas podem ocorrer.
        '''}
    }"
Quais são as precauções que devo tomar ao utilizar Aerinaze?,"1. Certas condições podem torná-lo invulgarmente sensível ao descongestionante sulfato depseudoefedrina contido neste medicamento. Fale com o seu médico, farmacêutico ou enfermeiro antesde tomar Aerinaze: - Se tem idade igual ou superior a 60 anos. Adultos idosas podem ser mais sensíveis aos efeitosdeste medicamento; - Se tem diabetes; - Se tem úlceras.2. Se tem alergia à desloratadina, sulfato de pseudoefedrina, medicamentos adrenérgicos ou aqualquer outro componente deste medicamento (indicados na secção 6) ou à loratadina;Se tem tensão arterial elevada, doença do coração ou dos vasos sanguíneos ou história de AVC;Se tem glaucoma, dificuldade em urinar, obstrução do trato urinário ou hiperactividadda tiroide;Se está a tomar um medicamento inibidor da monoaminoxidase (MAO) (uma classe demedicamentos antidepressivos) ou se acabou de tomar medicamentos deste tipo nos últimos14 dias.3. As pessoas com problemas cardiovasculares devem consultar o seu médico antes de usar este    medicamento.4. Este medicamento não deve ser administrado a crianças menores de dois anos.5. O uso prolongado deste medicamento por mulheres grávidas ou amamentadoras não foi estudado. Por        consequência, os riscos e benefícios associados ao seu uso durante a gravidez ou lactânciadevem ser discutidos com o seu médico.6. Evite beber álcool enquanto utiliza esta medicação pois ele aumentará os efeitos do álcool.7. Consulte o seu médico antes de iniciar uma nova atividade física ou esportiva depois de ter começado    a tomar este medicamento.8. Esta medicação pode causar sonolência. Não conduza veículos nem opera máquinas pesadas até que saiba    bem"
Como posso guardar Acabel?,"1) Guardar acabel em local fresco e escuro;
            2) Nunca deixe acabel exposto à luz solar direta;
            3) Nunca deixe acabel exposto à chama;
            4) Nunca deixe acabel exposto à água;
            5) Nunca deixe acabel exposto aos gases tóxico;
            6) Nunca deixe acabel exposto à radiação ultravioleta;
            7) Nunca deixe acabel exposto à temperaturas superiores a 30°C;
            8) Nunca deixe acabel exposto à condições higroscópicas (humidade);
            9) Nunca deixe acabel exposto à condições térmicas extremas;
            10) Nunca deixe acabel exposto à condições químicas adversas;
            11) Nunca deixe acabel exposto à condições físicas adversas;
            12) Nunca deixe acabel exposto à condições eletromagnéticas adversas;
            13) Nunca deixe acabel exposto à condições microbiológicas adversas;
            14) Nunca deixe acabel exposto à condições radiativas adversas;
            15) Nunca deixe acabel exposto à condições de vibrações adversas;
            16) Nunca deixe acabel exposto à condições de pressões adversas;
            17) Nunca deixe acabel exposto à condições de altitudes adversas;
            18) Nunca deixe acabel exposto à condições de gravidades adversas;
            19) Nunca deixe acabel exposto à condições de agentes biológicos adversas;
            20) Nunca deixe acabel exposto à condições de agentes radioativos adversas;
            21) Nunca deixe acabel exposto à condições de agentes psicológicos adversas;
            22) Nunca deixe acabel exposto à condições de agentes químicos adversas;
            23) Nunca deixe acabel"
Quais são os efeitos colaterais de Cozaar?," Efeitos secundários graves:
                - Reação Alergica Grave;
                - Pressão Arterial Baixa;
                - Tontura;
                - Ortostático Relacionado Com A Dose;
                - Insuficiência Cardiaca Grave;
                - Diabetes Mellitus;
                - Hipertensao Pulmonar;
                - Insufficiencia Renal Aguda;
                - Anemia Hemolitica;
                - Hepatotoxicidade;
                - Nefrite Intersticial Aguda;
                - Fibrilação Ventricular;
                - Angina De Peito Stable;
                - Infarto Do Miocardio;
                - Cefaleia;
                - Dor No Peito;
                - Disfunção Erétil;
                - Impotencia;
                - Nausea;
                - Vômitos;
                - Diarreia;
                - Constipação;
                - Gingival Hyperplasia;
                - Prisão Urinária;
                - Urticaria;
                - Rash;
                - Exantema;
                - Febre;
                - Fraqueza Muscular;
                - Convulsões;
                - Confusão;
                - Desorientação;
                - Somnolência;
                - Parestesia;
                - Vertigem;
                - Visão Turva;
                - Palidez;
                - Tremor;
                - Irritabilidade;
                - Ansiedade;
                - Insomnia;
                - Distúrbio Da Memória;
                - Alteração Na Conscieņcia;
                - Sonho Atípico;
                - Mania;
                - Depressão;
                - Suicidio;
                - Abuso De Substancias;
                - Acidente Vascular Cerebral;
                - Encefalopatia;
                - Hematoma Subdural;
                - Lesão Cerebrovascular;
                - Paralisia;
                - Polineuropatia;
                - Retinopatia;
                - Glaucoma"
Como devo tomar Blocan?,"10mg por dia, preferencialmente na manhã. Tomar apenas uma pílula por dia. Nuncatomar mais de duas pílulas por dia. Aumentar gradualmente a dose até chegar àdose máxima de 25mg por dia. Se necessário, continuar a aumentar a dose até37,5mg por dia. Depois disso, reduzir a dose para 25mg por dia. Continuarcom esta dose durante pelo menos três meses. Se necessário, continuar a aumentar a dosepara 50mg por dia. Depois disso, reduzir a dose para 25mg por dia. Continuarcom esta dose durante pelo menos três meses. Se necessário, continuar a aumentar a dosepara 75mg por dia. Depois disso, reduzir a dose para 25mg por dia. Continuarcom esta dose durante pelo menos três meses. Se necessário, continuar a aumentar a dosepara 100mg por dia. Depois disso, reduzir a dose para 25mg por dia. Continuarcom esta dose durante pelo menos três meses. Se necessário, continuar a aumentar a dosepara 125mg por dia. Depois disso, reduzir a dose para 25mg por dia. Continuarcom esta dose durante pelo menos três meses. Se necessário, continuar a aumentar a dosepara 150mg por dia. Depois disso, reduzir a dose para 25mg por dia. Continuarcom esta dose durante pelo menos três meses. Se necessário, continuar a aumentar a dosepara 175mg por dia. Depois disso, reduzir a dose para 25mg por dia. Continuarcom esta dose durante pelo menos três meses. Se necessário, continuar a aumentar a dosepara 200mg por dia. Depois disso, reduzir a dose para 25mg por dia. Continuarcom esta dose durante pelo menos três meses. Se necessário, continuar"
Quais são os pontos de atenção que devo tomar ao usar Fortzaar?,1 - Não tome Fortzaar caso esteja a receber tratamentos com outros medicamentos para hipertensão arterial;2 - Não tome Fortzaar caso tenha problemas renais graves;3 - Não tome Fortzaar caso tenha problemas hepáticos graves;4 - Não tome Fortzaar caso esteja a receber tratamentos com outros medicamentos contra apressão arterial;5 - Não tome Fortzaar caso esteja a receber tratamentos com outros medicamentos antiinflamatórios não esteroides;6 - Não tome Fortzaar caso esteja a receber tratamentos com outros medicamentos antiagregantes plaquetários;7 - Não tome Fortzaar caso esteja a receber tratamentos com outros medicamentos antidiabéticos oral;8 - Não tome Fortzaar caso esteja a receber tratamentos com outros medicamentos hipoglicemiantes;9 - Não tome Fortzaar caso esteja a receber tratamentos com outros medicamentos antihipertensivos;10 - Não tome Fortzaar caso esteja a receber tratamentos com outros medicamentos antiarrítmicos;11 - Não tome Fortzaar caso esteja a receber tratamentos com outros medicamentos antipsicóticos;12 - Não tome Fortzaar caso esteja a receber tratamentos com outros medicamentos antihistamínicos;13 - Não tome Fortzaar caso esteja a receber tratamentos com outros medicamentos anestésicos locais;14 - Não tome Fortzaar caso esteja a receber tratamentos com outros medicamentos antiemético;15 - Não tome Fortzaar caso esteja a receber tratamentos com outros medicamentos antiemetizante;16 - Não tome Fortzaar caso esteja a receber tratamentos com outros medicamentos antiemetic;17 - Não tome Fortzaar caso esteja a receber tratamentos com outros medicamentos antiemética;18 - Não tome Fortzaar caso esteja a receber tratamentos com outros medicamentos antieméticos;19 - Não tome Fortzaar caso esteja a receber tratamentos com outros medicamentos antieméticos
Quais são os efeitos desejáveis que posso ter ao tomar Lovastatina Azevedos?,1) Reduzir colesterol LDL;2) Reduzir triglicerídes;3) Incrementar HDL;4) Prevenir acidente vascular cerebral;5) Prevenir infarto agudo do miocárdio;6) Prevenir morte prematura por causa de doença cardiovascular;7) Evitar procedimentos cirúrgicos para limpar artérias obstruídas;8) Melhorar funções cognitivas;9) Melhorar memória;10) Melhorar concentração mental;11) Melhorar atenção;12) Melhorar humor;13) Melhorar energia;14) Melhorar apetite;15) Melhorar peso corporal;16) Melhorar aspecto físico;17) Melhorar saúde geral;18) Melhorar qualidade de vida;19) Melhorar relações familiares;20) Melhorar relacionamentos amorosos;21) Melhorar rendimento profissional;22) Melhorar condição financeira;23) Melhorar autoestima;24) Melhorar confiança;25) Melhorar autocontrole;26) Melhorar comportamento social;27) Melhorar capacidades intelectuais;28) Melhorar habilidades motoras;29) Melhorar coordenação motora;30) Melhorar reflexos;31) Melhorar equilíbrio;32) Melhorar flexibilidade;33) Melhorar resistência à fadiga;34) Melhorar mobilidade;35) Melhorar postura;36) Melhorar velocidade de movimentos;37) Melhorar força muscular;38) Melhorar endurance;39) Melhorar resistência à dor;40) Melhorar cicatrização das feridas;41) Melhorar cicatrização dos tecidos;42) Melhorar cicatrização das lesões nervosas;43) Melhorar cicatrização das lesões musculares;44) Melhorar cicatrização
Como funciona o Latuda?," O Latuda contêm a substância ativa lurasidona e pertence a um grupode medicamentos denominados antipsicóticos. Ele é utilizado para tratar os sintomasda esquizofrenia em adultos (com idade igual ou superior a 18 anos) eadolescentes com idades entre 13-17 anos. A lurasidona funcionabloqueando os receptores no cérebro aos quais as substânciasdopamina e serotonina se ligam. A dopamina e asserotonina são neurotransmissores (substâncias que permitiam que ascelulas nervosas comunicassentre si) que estão envolvidas nos sintomas da esquizofrenia.Atravésdo bloqueio dos seus receptores, a lurasidona ajuda a normalizar aatividade do cérebro, reduzindo os sintomas da esquizofrenia.

        """"""
        return self._get_response(question=question)
"
Para que serve o Luveris?,1- Serve para induzir ovulação;2- Serve para induzir a menstruação;3- Serve para aumentar os níveis de FSH e LH;4- Serve para induzir a produção de GnRH;5- Serve para induzir a produção de Estradiol;6- Serve para induzir a produção de Prolactina;7- Serve para induzir a produção de TSH;8- Serve para induzir a produção de Cortisol;9- Serve para induzir a produção de Testosterona;10- Serve para induzir a produção de DHEAS;11- Serve para induzir a produção de ACTH;12- Serve para induzir a produção de Somatostatina;13- Serve para induzir a produção de Endorfinas;14- Serve para induzir a produção de Melatonina;15- Serve para induzir a produção de Catecolaminas;16- Serve para induzir a produção de Vasopressina;17- Serve para induzir a produção de ADH;18- Serve para induzir a produção de Insulina;19- Serve para induzir a produção de Glucagon;20- Serve para induzir a produção de Leptina;21- Serve para induzir a produção de Lipocalina;22- Serve para induzir a produção de Proteína C reativa;23- Serve para induzir a produção de Interleuchina;24- Serve para induzir a produção de Colônia;25- Serve para induzir a produção de IgG;26- Serve para induzir a produção de IgM;27- Serve para induzir a produção de IgA;28- Serve para induzir a produção de IgD;29- Serve para induzir a produção de IgE;30- Serve para induzir a produção de IgY;31- Serve para induzir a produção de
Quais são os efeitos colaterais ao tomar Striverdi Respimat?," Poucos casos de reacções adversas graves foram relatados durante o tratamento com Stiverdi Respimat. No entanto, alguns dos efeitos secundários mais comuns incluem:
                 Nasofaringite (corrimento nasal), Tontura, Erupção na pele, Artralgia (dor nas articulações), Hipertensão Também pode sentir efeitos secundários cuja ocorrência é conhecida nos certos medicamentos para problemas respiratórios semelhantes a Striverdi Respimat(agentes beta-adrenérgicos). Estes efeitos podem ser batimento cardíaco acelerado ou irregular ou sensação do batimento cardíaco, elevação ou diminuição da pressão arterial, tremor, dor de cabeça, nervosismo, insónia, tontura, boca seca, náusea, cãibras musculares, fadiga, mal estar geral, baixos níveis de potássio no sangue
        '''}
    }"
